Category;Category_Description;Attribute;concept;Human_Description;Annotation_Guideline;Normalization_params;Normalization_instruction;Normalization_Function_Description;Data_Types;Normalized_Datatype;Unique Values Count (target_scores);NA Values Percentage (target_scores);Unique Values List (target_scores)
Computers And Accessories;The 'Computers And Accessories' category includes products related to storage devices, computing systems and cables.;Manufacturer;identification;The 'Manufacturer' attribute refers to the company or entity that produces the items from Computers and Accessories.;"* Longest Substring Rule: include subbrand if mentioned.
- If multiple different ways to express the Manufacturer are present include them all (E.g. HP != HPE, if HP ProLiant, annotate in entirity)
- If only subbrand is present, add it (E.g. ""ProLiant"")";[Name Expansion];Expand the Manufacturer Name in the product text if it is provided in abbreviated format.;"Consider the following pseudo code which could help you in expanding brand names:
def get_long_brand_name(text):
  text = text.replace(""HPE"", ""Hewlett-Packard Enterprise"")
  text = text.replace(""HP"", ""Hewlett-Packard"")
  text = text.replace(""IBM"", ""International Business Machines"")
 return text";"[""Name"", ""Abbreviated Name"", ""Abbreviated And Full Name""]";Name;31;2,37;HP Pro, COMPAQ, PROLIANT, HP COMPAQ, Crucial, Compaq, Dell, HP Proliant, Fujitsu, HP Compaq, HPE, Sun, Artesyn, Proliant, Seagate Enterprise, AMD, Seagate, HP, n/a, Cooler Master, Compaq Proliant, ProLiant, Hewlett-Packard Proliant, Hewlett-Packard, HP ProLiant, Quantum, EMC, Hitachi, Kingston, Noctua, IBM
Computers And Accessories;The 'Computers And Accessories' category includes products related to storage devices, computing systems and cables.;Generation;generation;The 'Generation' attribute refers to the specific version or iteration of the product line or the Generations of compatible products. It is an indicator of the product's recency.;"* Generation may refer to the Generation of the Product Itself or the Compatibility with other Devices. Usually the latter is indicated by ""G[digit]"".";[Name Expansion];Look for specific abbreviations and short forms related to technology generations, DDR memory versions, tape technologies, and processor names. Replace these terms with their full forms and leave a space between the full form and the numeric value (if any).;"Consider the following pseudo code which could help you in expanding Generation names:
def replace_short_forms(text):
    # Replace generations
    for i in range(1, 10):
        text = text.replace(f""Gen{i}"", f""Generation {i}"")
        text = text.replace(f""G{i}"", f""Generation {i}"")
    # Replace DDR versions
    text = text.replace(""DDR4"", ""Double Data Rate 4"")   
    # Replace AIT versions
    text = text.replace(""AIT-3"", ""Advanced Intelligent Tape 3"")
   ...
return text";"[""Name with Numeric"", ""Abbreviated Name with Numeric""]";Name with Numeric;38;51,05;DLT1, G3 G4, DDS4, G1/G2, G2/G3, G4, Pentium II, Gen1-Gen7, PII, DDR2, G2HS, G2, G4/G5, G1-G7, G3/G4, G8, AIT-3, DDR4, G3, G7, G4P, G6, G2 G3, LTO 2, Generation 1, AIT-1, n/a, G8 G9, LTO2, G4p, G5p, G1, Piledriver FX-4, AIT2, Gen8 Gen9, G5, DLT 1, DDR
Computers And Accessories;The 'Computers And Accessories' category includes products related to storage devices, computing systems and cables.;Part Number;identification;The 'Part Number' attribute usually refers to a unique identifier that is used to distinguish it from other products. They are essential for inventory management and to track, order and stock products. The can be alphanumeric and often follow a format that may include information about the product type, series, version, and other relevant details.;"* Only Original Part Numbers (Mostly Alphanumeric Combinations) are annotated without the mention of their quantity (e.g. ""08W570-10Pack"" is ""08W570"")";[Delete Marks];Remove any non-alphanumeric characters (like hyphens, periods, and spaces) from the Part Number. Only letters and numbers should remain in your output.;"Consider the following pseudo code which could help you in removing non-alphanumeric characters:
def delete_marks(id):
    return re.sub(r'[^a-zA-Z0-9]', '', id)";"[""Unique Numeric ID"", ""Unique Alphanumeric ID"", ""Unique Numeric ID with marks"", ""Unique Alphanumeric ID with marks"", ""Unique Alphanumeric ID""]";None;438;0,87;432322-001, EG0600FBVFP, 380574-001, 190212-B21, 576778-001, 434905-B21, 0529FG, 507125-B21, 122633-001, 383871-B21, 0391KC, 373035-B21, 233806-009, 652589-S21, 458924-B21, J762N, 005050346, 346921-001, 793701-S21, 625031-B21, 643770-B21, 234672-B21, 248929-B21, 364430-B21, 127005-031, 654780-B21, YH344, 649402-001, 381881-B21, 459512-001, 341-8358, 432341-B21, 26K5709, 147095-001, C5609, 00W1311, 458420-B21, 628059-B21, 273644-B21, 572531-B21, 488348-B21, 619291-B21, 305461-001, 458945-S21, 438101-B21, 9X923, 375872-B21, 192826-001, 652605-B21, 653957-001, 391793-B21, 005049956, 142671-B21, 280127-001, 26K5714, 470065-235, 289570-001, 229402-001, 461137-B21, 00W1306, 593188-B21, 267621-001, 22947800, 461289-001, 341-4328, 628183-001, 516810-002, 405912-B21, CT4G4DFS8213, 650766-B21, 133749-B21, 487364-001, 01D94D, 157305-B21, UH530, 378202-001, 330731-B25, 174571-B21, 349543-001, 342-2035, DG146BB976, 653954-001, 419402-B21, 243283-B21, 293472-B23, 398307-B21, 244059-B21, 507614-B21, 305437-001, 29347-B22, 360519-B21, 230982-001, 281540-B21, TR-S23X-CM, 619463-001, 416891-B21, 459504-B21, 418399-001, 507284-001, 153554-001, 431950-B21, 409682-001, 303606-B21, F3007, 517350-001, 435952-B21, 212691-B21, 254512-B21, 372703-B21, 507774-B21, 005051448, DF300A4950, 128293-B21, 355671-B21, 6DHKK, TRS23B-YF, 322309-001, 333774-B21, 643772-B21, 101933-001, 16MGW, 313611-B21, 152728-001, 126312-001, 492237-B21, 361413-B21, 300876-B21, 504334-001, DF146BB6C2, 249228-001, 416888-B21, 519578-005, 234493-B21, XT-3310-73-GB-15K, 513778-B21, 375861-B21, 194751-001, 374303-B21, 340-9935, 234457-B23, R4785, 581284-S21, 301897-B24, 652605-B21-SC, 161148-001, 321835-B21, 320328-001, 316131-001, 257974-B21, DS-RZ1DF-VW, 313881-B21, 593722-B21, AP732B, 379124-001, 08W570, AP732, 383392-B21, ST100FM0002, 5W925, 340-7084, 341-1698, 322118-B21, DG0300FARVV, 435552-B21, 43X0839, 533871-003, 484299-B21, 662242-B21, XT-3310-73GB-15K, AP731B, 539843-001, 313586-001, 005050209, 293473-B21, 234458-001, 127976-001, 384854-B21, 228468-002, 507127-B21, n/a, 330788-B22, 418369-B21, 119826-B21, ST9300503SS, 331903-B21, 252028-001, 365504-001, H1813, 627195-001, 49Y6129, 652564-B21, 301899-B21, 333747-001, 583718-001, AJ711, 190211-001, 293415-B21, 338974-B21, 571230-B21, 005051454, DF036A9843, 517352-001, 283193-B21, 341-2749, MBD2147RC, 657750-B21, 359461-001, 529FG, MB2000ECWLP, 644172-B21, 192186-002, 459508-B21, 260740-001, 380189-001, 364621-B21, 101951-001, H6257, 535683-B21, 263474-B22, 323300-001, 379306-B21, 442992-B21, 405162-B21, 376593-001, 302969-B21, 380625-B22, 314933-637, 257076-B21, HT954, 330531-B21, 508232-B21, 400-AJOU, 9FN066-057, 376242-B21, 785408-001, 373545-001, 454234-B21, 90Y8877, 293462-B21, 388144-B22, 450260-B21, 116403-001, 588076-B21, 652766-B21, PGHJG, 268290-B21, 293472-B21, 493083-001, 271246-001, 238921-B21, 173827-001, 507772-S21, 222093-001, 005051453, 416560-001, 005050695, 403702-B21, 361039-B21, 862140-001, 370718-001, 305313-001, 507632-B21, 257321-002, EF0450FATFE, 347883-001, 229842-001, 0959R4, 163719-002, 397844-B21, 418397-001, 231377-B21, 380197-001, P1824-69026, 432096-B21, 158649-001, FC273, 660660-B21, ST1500DM003, 212398-001, 262587-B21, 319953-001, 90Y8953, 241375-002, 435550-B21, 347786-B21, 458930-B21, 005049806, 432093-B21, 370960-D71, 507616-B21, 123740-001, 380192-001, ST31500541AS, TR-S23X-C, J8078, 190209-001, 350535-B21, 419487-B21, 431933-B21, 487204-B21, ST336706LC, 90Y8567, 330531-001, 516816-B21, 504056-001, J770N, 282953-001, 487795-001, 155000-001, 201724-B21, 431954-002, 005049205, W345K, G3399, 375870-S21, 376595-001, 356534-001, 232916-B22, 703962-B21, DF300ABAA, 693689-B21, 341-3372, 328215-004, 490461-B21, 262585-B21, 331441-001, 356544-001, WF12F, 686832-B21, 872744-001, 281404-B22, 005050347, 165644-001, 353043-001, 231783-001, 572252-001, 353831-B21, 192325-001, 448371-B21, 0A35155, 005050698, 390738-B21, ST1000DM003, 349237-B21, 123508-B21, 187217-B21, 293472-B22, 614203-B21, 169989-001, 138604-B21, 231122-B21, 383410-B21, 329339-001, F6928, 311056-001, 257918-001, 221470-B21, 359254-001, BF300DA47B, 391656-001, 508010-001, P0171, 005051447, 157855-001, 126315-001, 228715-003, 577143-001, 745719-B21, 192187-001, 365063-001, 572073-B21, 327281-B21, 005049807, 508232-S21, 375870-B21, 264007-B21, 504062-B21, M4981, 295573-001, DG0300FAMWN, 400291-001, 262589-B21, ST3146855FCV, 625609-B21, 273314-B21, 301901-B21, 005050206, 180726-007, 282433-B21, 317600-B21, 388504-B21, Y3397, 201201-001, 349238-B21, 42D0672, 330815-B21, CR272, 175564-001, 632520-005, 405037-B21, 343378-B21, FC958, MAX3147RC, 157669-B21, 652745-S21, 516814-B21, 375863-016, 431689-003, 123476-001, 331003-B21, A7910487, 382177-001, 411064-B21, DC961, 458784-B21, 005049302, 166198-001, 257413-B21, 231823-B22, 516828-B21, 587500-B21, 250908-001, 39R7342, 615418-B21, 155607-003, 173834-001, 70-40262-01, 337273-001, 283192-B21, 101931-001, 413931-B21, 364026-B21, 287528-B21, 458257-B21, 581286-B21, 128289-B21, 158222-B21, 497765-B21
Computers And Accessories;The 'Computers And Accessories' category includes products related to storage devices, computing systems and cables.;Capacity;performance;The 'Capacity' attribute determines the storage space or RAM that is available in devices like hard drives, SSDs, memory cards, PCs and laptops. It is usually measured in GB or TB.;"* Longest Substring Rule: include split information if mentioned (e.g. ""2GB (2x1GB)""
* Capacity is product type specific: For hard drives it is Storage Capacity (e.g. GB, for power supplies it means the power capacity. If more than one option is preset in the title/description, the longest substring rule applies (e.g. ""35/70GB"")
";[Unit Expansion];"Replace 'GB' with 'Gigabytes', 'TB' with 'Terabytes', 'MB' with 'Megabytes', and 'W' with 'Watts'.
Remove any hyphens between the numeric value and the unit.
Ensure there is a space between the numeric value and the expanded unit.";"Consider the following pseudo code which could help you in expanding and normalizing Capacity unit names:
def transform_capacity(value): # Remove hyphens value = re.sub(r'\-', '', value) # Expand units and ensure a space before each unit value = re.sub(r'(?<=\d)GB', ' Gigabytes', value) value = re.sub(r'(?<=\d)TB', ' Terabytes', value) value = re.sub(r'(?<=\d)MB', ' Megabytes', value) value = re.sub(r'(?<=\d)W', ' Watts', value) return value";"[""Numeric with Unit""]";Numeric with Unit ;116;29,49;2GB (1x2GB), 40GB, 73-GB, 1x4GB, 300-GB, 120GB, 1GB, 4GB, 160-GB 230-GB, 16 GB, 2TB, 35/70GB, 200-GB, 750GB, 73.4GB, 8GB, 9.1GB, 1000W, 100GB, 72.8GB, 160/320-GB, 18GB, 500GB, 72.8-GB, 1-TB, 160GB, 36.4GB, 1.2TB, 6Gb, 72-GB, 1.5TB, 100/200-GB, 4TB, 35/70-GB, 1024-MB, 4-TB, 256MB, 12GB, 160-GB, 750-GB, 900-GB, 40G, 600-GB, 32MB, 2GB, 400GB, 2700W, 1.2-TB, 100/200GB, 40/80GB, 18.2GB, 18-GB, 146GB, 80GB, 3-TB, 2 x 512 MB, 200GB, 160/320GB, 36-GB, 120-GB, 512MB, 1TB, 64 GB, 2x2GB, 20-GB, 60GB, 8-GB, 900GB, n/a, 40/80-GB, 73.4-GB, 3TB, 8-TB, 400-GB, 1024MB, 8 GB, 4 GB, 80-GB, 600GB, 72GB, 36GB, 6GB, 450GB, 500-GB, 200/400GB, 73GB, 20/40GB, 250-GB, 8TB, 2-TB, 8-G, 20/40-GB, 250GB, 160GB/230GB, 300GB, 1.5-TB, 9GB, 6TB, 36.7GB, 16GB, 512mb, 450-GB, 146.8-GB, 2 X 2GB, 146-GB, 110/220GB, 3GB, 20GB, 36.4-GB, 6-TB, 110/220-GB, 60-GB, 64GB, 128MB, 146.8GB, 425W
Computers And Accessories;The 'Computers And Accessories' category includes products related to storage devices, computing systems and cables.;Product Type;identification;The 'Product Type' attribute can be seen as a subcategory of the product.;"* Longest Substring Rule applies except the specification relates to other technical details (e.g. ""Memory Kit"" when ""Unbuffered, Dual Rank Memory Kit"")
- Shortforms can also be Product Types (e.g. ""HDD"")
- If multiple Product Types are mentioned, all are accepted (e.g. ""Heat Sink"" and ""CPU Fan"")
- If specific terms are not about technical details, they are included (e.g. ""Switch Box Cable"")";[Product Type Generalisation];"Give the Product Type as EXACTLY ONE of the following:
- Storage Solutions
- Server and Networking Equipment
- Power Management and Distribution
- Memory and Processing Upgrades
- Racks, Enclosures, and Mounting Solutions
- Data Transfer and Connectivity
- Media and Accessories
- Cooling and Thermal Management
- Miscellaneous and Specialized Equipment";"* Storage Solutions: This category will include items primarily used Storage Solutions: This category will include items primarily used for storing data like hard drives, tape arrays, and storage systems.
* Server and Networking Equipment: Items like servers, network cards, and server adapters will fall into this category.
* Power Management and Distribution: This includes power supplies, power distribution units, and related equipment.
* Memory and Processing Upgrades: Items like memory modules, processor upgrades, and similar components will be included here.
* Racks, Enclosures, and Mounting Solutions: This will cover racks, enclosures, mounting kits, and related hardware.
* Data Transfer and Connectivity: Items facilitating data transfer and connectivity, like cables, adapters, and switches, will be categorized here.
* Media and Accessories: This includes various media types and accessories like CD-ROMs, DVDs, and accessory kits.
* Cooling and Thermal Management: Items for managing temperature and cooling, such as fans and heat sinks, will be included here.
* Miscellaneous and Specialized Equipment: This will include specialized or miscellaneous items that don't neatly fit into the other categories.for storing data like hard drives, tape arrays, and storage systems.";"[""Free Text""]";Free Text;236;3,96;EDO Memory, Drive Option, SSD (Solid Sate Drive), RPS with Fan, Desktop Hard Drive, Drive, Cooler, Host Adapter, SDRAM, Chassis Fan, DVD-ROM Drive, Peripheral Board, Rack Stabilizer Kit, SSD, Rackmount Sliding Shelf Kit, Storage Hub, Tape Array, CD-RW/DVD-ROM Combo Option Kit, Ventilateur, Serial Interface Adapter, ENCLOSURE, RAID Storage Controller, CD-RW DVD-ROM, Rail Kit, DRIVE STORAGE ENCLOSURE, Flash Card, Storage Controller (RAID), Controller Board, Processor Kit, RAID Array, CD-ROM Drive, Drive Library Upgrade Option, NIC, Internal Tape Drive, cooling, enclosure, drive, SDLT2 Library, Baying Kit, CD-ROM, Keyboard/Monitor/Mouse Extension Cables, Voltage Regulator Board, High Airflow Door Insert, Drive Cage, Switch Box Cable, Tower to Rack Conversion Kit, Rackmount Option Kit, Nic Adapter, Rack Rail Kit, transceiver module, Ext Cache Battery Module, Backplane Board, KVM Interface Adapter, Modular Array Director, SDLT LVD Loader, System Board, SDLT, CD ROM, CPU Fan, Rack, Regulator Board, FAN CHASSIS, Processor Power Module, Super DLT, Memory Kit, IDE Crbn Kit, BackPlane Board, CTO Blade, Memory Module, Ethernet Server Adapter, CPU Kit, Library, Solid State Drive, KVM Switch, Smart Array Controller, Tape Library, Blade, Processor Option Kit, HardDrive, LTO Library, Midline Drive, Drv, Server Blade, Encl, Peripheral Brd, Fibre Channel Switch, Power Supply, CD / Floppy Assembly Drive Combo, SAN Switch, Interconnect, Monitor Utility Shelf, Internal Array Controller Cabling Option Kit, CAT5e Cable, Motherboard, Module, Controller Adapter Card, Heat Sink, Rack-Mount Library, Base, Array Cabling Kit, EMUBOARD MODULAR ARRAY, Processor Upgrade, EMU Board Modular Array, Interconnect Kit, Blade server enclosure, Daughter Board, Rack Keyboard, SDRAM BBWC Cache Upgrade, Storage System, DAT, Array Controller, Rack-Mount Tape Library, SCSI Cable, Tape Drive, BladeSystem Entry Bundle, Hard Drive, Ethernet Card, Rack Stabilizer Option Kit, UPS, HB, SDRAM MEMORY, CD / Floppy Assembly, Solid State Hard Drive, Multi-Server UPS Card, Smart Array Cluster Storage, Rackmount Keyboard, RAID Controller Kit, Patch Panel Connector Cables, Ethernet Adapter, External Cache Battery (ECB) Module, Smart Array Controller Module, AC Power Cord, Server Console Cable, Memory, Host Bus Adapter (HB), Hard Drives, BBWC Upgrade, LCD Monitor, SDRAM Kit, Entry SAN, Interconnect tray, Power Distribution Unit, Drive Cage Assembly, Switch, Enclosure, Power Supply Kit, Server Adapter, I/O Module UPG, Fiber Channel Shortwave Gigabit Interface Converter (GBIC), Expansion Module Rack, SCSI CABLE, Gigabit Server Adapter, HUB, KVM ADAPTERS, MemoryCartridge, PS, Host Bus Adapter, Server - Tower, Tape Drive module, Blade Server Enclosure, n/a, Memory Cartridge, SDRAM Memory, Smart Array, rack-mountable, PDU, Multi-Server Card, Modular Smart Array SAN Director, Transceiver, Channel SCSI Controller, Fibre Channel Cable, Fiber Channel Shortwave, Server, KVM Console Switch, Mezzanine Card, Rack Fan Kit, SWITCH Kit, Power Supply w/Fan, Tower, CPU Power Module, Rackmount LTO Tape Library AutoLoader, Cable Kit, Battery, Voltage Regulator Module (VRM), RAID Controller, Cooling Fan, CPU, Interconnect Switch, Rack Mountable Server, Network Card, Keyboard Monitor Shelf, Blade System, Solid State Drive (SSD), Battery Backup, Libary Option, PC Board, Extension Cables, Rack Server, SPS Cable, Processor, Memory Expansion Board, HD, AC Power Supply, Server Adapter Card, BladeSystem, Console Expansion, Secure Digital, ClusterStorage, SDRAM Memory Kit, DVD-ROM drive, VRM, CD-RW DVD-ROM Drive, Fiber Channel Loop Switch, Entry SAN Cluster Option, CD-RW/DVD-ROM Combo Drive, Redundant Power Supply, SAS Controller, Controller, Bay Hot Plug, Environmental Monitoring Unit (EMU), Rackmount Drive Library, RPS, HDD, SDLT2, Raid Controller, RAID Battery Key Cache Kit, Sliding Shelf Kit, Server Blade Enclosure, PC Board (Interface), MEM Kit, Gigabit Ethernet Network InterfaceAdapter, SSD (Solid State Drive), Fan, Keyboard/Monitor Shelf Kit, Monitor Utility Shelf Rack Option, Power Supply Backplane Board
Computers And Accessories;The 'Computers And Accessories' category includes products related to storage devices, computing systems and cables.;Interface;interface_connectivity;The 'Interface' attribute refers to the hardware and software that enable a device to communicate with other devices or systems. It can be a physical connector, like a USB or HDMI port, or a wireless standard, like Bluetooth or Wi-Fi. It determines the compatibility of different systems. Often it is indicated by SCSI (Small Computer System Interface).;"* Longest Substring Rule: Include any technical details related to Interface, s well as short forms if applicable (e.g. ""Serial Attached SCSI (SAS)"", ""Ultra320 3.5-inch SCSI"")";[Name Generalisation];"Give the Interface as EXACTLY ONE of the following:
- SCSI Interface
- Fibre Channel Interfaces
- SAS (Serial Attached SCSI) Interfaces
- Ethernet and Networking Interfaces
- Other Interfaces";"* SCSI Interfaces: This category encompasses various SCSI (Small Computer System Interface) standards used for connecting storage devices and peripherals to computers.
* Ethernet and Networking Interfaces: It includes interfaces like RJ-45 and RJ-21 used for Ethernet and networking connectivity.
* Fibre Channel Interfaces: This category covers interfaces related to Fibre Channel technology used in high-speed data transfer and storage networks.
* Other Interfaces: This category is a catch-all for interfaces like PCI Express that don't fit into the other specified categories.
* SAS (Serial Attached SCSI) Interfaces: SAS interfaces are included here, as they are a specific type of SCSI interface designed for high-speed data transfer and storage connections.";"[""Name"", ""Abbreviated Name"", ""Abbreviated And Full Name"", ""Abbreviated Name with Numeric""]";Name;62;28,64;PCI- X, Male DB-9Connector to RJ-45, Ultra3, HVD, SAT, Serial AT (SAT), WU3, C -GBE2, Ultra SCSI, FC, Serial Attached SCSI, Serial Attached SCSI(SAS), Serial Attached SCSI (SAS), PCI-X SAS, FC-AL, LVD SE, U320 SCSI, Ultra3 SCSI, SAS, Fiber Channel, LVD, SATA, PS/2 and VG, IDE, Ultra SC, SAT-150 / SAS, DIMM 240-pin, SCSI, RJ-45, SCSI Ultra 160, Ultra SCSI-3, PCI, RJ-21 to RJ-45, U160 SCSI, SCSI/LVD, Serial AttachedSCSI (SAS), SAT/SAS, C-GbE2, FCAL, n/a, C-GBE, C-GbE, Ultra320 SCSI, SAS/SATA, Fibre Channel AT (FAT), Fibre Channel, PCI to Fibre Channel, ATA, Ultra2 SCSI, Socket AM3+, PCIe, (LVD/SE) SCSI, Ultra320 LVD SCSI, Ultra2, SCSI LVD, Serial AT(SAT), LVD/SE, FAT, AT IDE, PCI Express, Ultra2/Ultra3 SCSI, PCI-X
Computers And Accessories;The 'Computers And Accessories' category includes products related to storage devices, computing systems and cables.;Cache;performance;The 'Cache' attribute is important in the context of computing performance, it speeds up data access times of processors and storage devices. The size of a CPU cache (measured in kilobytes or megabytes) can greatly impact the overall performance of a computer, especially in tasks requiring quick data retrieval, like gaming or data processing.;* Longest Substring Rule: Include split information (see capacity);[Unit Expansion];"Expand abbreviated units: Convert 'GB' to 'Gigabytes', 'MB' to 'Megabytes', and 'KB' to 'Kilobytes'.
Remove any hyphens between the numeric value and the unit.
Ensure a space is present between the numeric value and the full unit name.";"Consider the following pseudo code which could help you in expanding and normalizing Cache unit names:
def transform_cache(value): 
    # Remove hyphens 
    value = re.sub(r'\-', '', value) 
    # Expand units and ensure a space before each unit 
    value = re.sub(r'(?<=\d)GB', ' Gigabytes', value) 
    value = re.sub(r'(?<=\d)KB', ' Kilobytes', value) 
    value = re.sub(r'(?<=\d)K', ' Kilobytes', value) 
    value = re.sub(r'(?<=\d)MB', ' Megabytes', value) 
    
    return value";"[""Numeric"", ""Numeric with Unit""]";Numeric with Unit;34;83,07;1024K, 512KB, 6MB, 256, 256MB, 1GB, 64MB, 512, 512MB, 20MB, 10MB, 32MB, 2MB, 4mb, 8MB, 2GB, 2MB-2X1MB, 15MB, 1G, 4MB, 1M, n/a, 12MB, 1MB, 8MB-2x4MB, 4MB L2 Cache, 8MB L3 Cache, 18MB, 16MB, 2M, 2024K, 512K, 2MB(2x1MB), 128MB, 24MB
Computers And Accessories;The 'Computers And Accessories' category includes products related to storage devices, computing systems and cables.;Ports;interface_connectivity;The 'Ports' attribute refers to the physical connection points on computers and related devices that allow for the attachment of peripherals, external devices, and cables. It determines the connectivity options of a computer system. The number and type of ports on a computer determine what and how many peripherals can be connected simultaneously, e.g. Single, Dual.;"* Solely means Ports, not Connectors, Bays or Pins. 
 Longest Substring Rule: Include shortforms in parantheses if applicable
* Include shortforms ""SP"" and ""DP""";[Numeric Standardization];"If the product text explicitly states a number of ports, use that number.
If the product text implies a number of ports, convert it into its numeric equivalent. 
If the description includes multiple port counts, sum them to provide a total port count.";"Consider the following pseudo code which could help you in normalizing the number of Ports as a single numeric value:
def extract_value_from_port_examples(port_description):
    if port_description == ""DUAL-UAT"":
        return ""2""
    elif port_description == ""16 Port"":
        return ""16""
    elif port_description == ""8-Port"":
        return ""8""";"[""Free Text with Numeric"", ""Free Text with Number as Word""]";Numeric;21;68,73;24 ports, 2-Port, Single Port (SP), 8-Port, Single Port, 2-Ports, 12-Port, Dual Port, DP, Quad Port, n/a, Dual Port (DP), Eight Port, 2-ports, 2-portsInt/4-ports Ext, 2-ports Int/2-ports Ext, SP, 16 Port, 4-Port, Dual-Port, DUAL-UAT
Computers And Accessories;The 'Computers And Accessories' category includes products related to storage devices, computing systems and cables.;Processor Core;processor ;The 'Processor Core' attribute refers to  the number of individual processing units within a computer's central processing unit (CPU). ;"* Indicator of the number of cores, can be both digits and words (E.g. ""4-core"", ""Quad-Core"") as well as short forms (""QC"", ""DC"")";[Numeric Standardization];"Convert the Processor Core value into their corresponding numeric values. 
If the product text specifies the number of cores directly, use that number. 
If the product text implies a number of cores, convert it into its numeric equivalents.";"Consider the following pseudo code which could help you in normalizing the number of Cores as a single numeric value:
def normalize_core_number(value):
    core_mapping = {
        ""QC"": 4, 
        ""4-core"": 4,
        ""10-core"": 10}
return value";"[""Free Text with Numeric"", ""Free Text with Number as Word""]";Numeric;13;90,62;2-core, Single-core, QC, 4-Core, Dual Core, n/a, DC, Quad Core, 10-core, 4-core, 8-core, Quad-Core, 6-core
Computers And Accessories;The 'Computers And Accessories' category includes products related to storage devices, computing systems and cables.;Processor Type;processor ;The 'Processor Type' attribute refers to the specific type or model of the central processing unit (CPU) used in a computer or related hardware device.;"* Longest Substring Rule: If applicable, include the specific model number and Manufacturer (E.g. ""Intel Xeon E5335""). It does not include any GHz.";[Name Generalisation];"Give the Processor Type as EXACTLY ONE of the following:
- Intel Xeon Series
- AMD Opteron Series
- Pentium Series";"* Intel Xeon Series: This is a broad category that includes various sub-series. These processors are typically used in servers and high-performance workstations. They are known for their multi-core capabilities, high performance, and support for advanced features like ECC memory and virtualization.
* AMD Opteron/Piledriver Series: These are AMD's server and workstation processors, similar in target market to the Intel Xeon series. They're known for their multi-core setups and energy efficiency, especially in data centers and for cloud computing.
* Pentium Series: These are older Intel processors primarily used in desktop computers. They represent earlier generations of CPU technology.
";"[""Name""; ""Name with Numeric""]";Name;77;77,02;Intel Xeon E5-2420, Xeon E5335, Intel Xeon 5060, PII, Intel Xeon 5160, Xeon-mp, Xeon E7440, Opteron 8431, Xeon P3, Intel Xeon E5-2603, Intel Xeon E5-2650, Intel Xeon DL360, Intel Xeon MP DL560, Xeon E5430, Xeon E7-4807, Xeon E74830, Xeon E5520, Intel Pentium D 820, Intel Xeon X5272, Xeon E5540, Intel Xeon E5310, Xeon E5-2603, Opteron 250, Intel Xeon E5405, Intel Xeon E7-4850, Xeon 5060, Intel Pentium 4, AMD Opteron 6308, Opteron 865, Opteron 880, Xeon 5130, Intel Xeon E5335, P3, Intel Xeon, Intel Xeon BL20p, Intel Xeon E5430, Intel Xeon X5440, Intel Xeon E7-4807, Opteron, Xeon E5-4650L, Intel Xeon E5-2660, Intel Xeon E7220, Xeon 800, Xeon 5120, Xeon E5506, Xeon DL360, Intel Xeon E5530, HP Xeon X5272, n/a, Intel Xeon E5-4650L, Xeon E7220, Xeon E5-2660, Opteron 6308, Intel Xeon process E5345, Intel Xeon 5130, Piledriver FX-4, AMD Opteron 8212, Xeon E5503, Xeon E5530, Pentium III, Intel Celeron D352, AMD Opteron 880, 4-Xeon-550, PIII, Xeon 5160, Intel Xeon E5503, AMD Opteron 2216HE, Intel Xeon E7-4830, Intel Xeon E5540, HP Xeon E5-2650, Intel Celeron D 352, Xeon, Xeon DL560, Opteron 850, AMD Opteron 865, Opteron 8439SE, Pentium II
